"Date","Price","Open","High","Low","Vol.","Change %"
"May 27, 2022","29.80","30.00","30.90","29.50","742.08K","-0.67%"
"May 26, 2022","30.00","30.90","30.90","30.00","317.26K","-1.32%"
"May 25, 2022","30.40","31.00","31.00","29.90","196.46K","1.33%"
"May 24, 2022","30.00","31.60","31.90","30.00","318.97K","-6.25%"
"May 23, 2022","32.00","33.00","33.00","31.00","94.61K","-0.62%"
"May 20, 2022","32.20","33.00","33.00","31.00","334.15K","0.63%"
"May 19, 2022","32.00","34.00","34.00","31.60","200.57K","-6.98%"
"May 18, 2022","34.40","35.40","35.50","32.70","396.48K","-2.27%"
"May 17, 2022","35.20","34.00","35.50","34.00","486.20K","5.39%"
"May 13, 2022","33.40","31.20","34.00","31.20","664.09K","7.74%"
"May 12, 2022","31.00","27.60","31.00","27.60","461.96K","10.71%"
"May 09, 2022","28.00","27.50","29.00","27.00","185.65K","2.56%"
"May 06, 2022","27.30","27.20","27.60","26.60","175.53K","-1.09%"
"May 05, 2022","27.60","29.00","29.00","27.20","217.11K","-4.83%"
"May 04, 2022","29.00","30.30","30.30","28.00","120.56K","0.00%"
"Apr 29, 2022","29.00","33.00","33.00","28.60","337.19K","-4.29%"
"Apr 28, 2022","30.30","27.00","32.40","26.40","901.19K","8.60%"
"Apr 27, 2022","27.90","21.00","29.00","21.00","1.41M","24.00%"
"Apr 26, 2022","22.50","25.00","25.00","22.50","147.95K","-13.46%"
"Apr 25, 2022","26.00","26.10","27.00","26.00","103.91K","-13.33%"
"Apr 08, 2022","30.00","30.00","31.40","28.00","344.45K","-2.60%"
"Apr 07, 2022","30.80","32.40","32.40","30.00","265.96K","-4.64%"
"Apr 06, 2022","32.30","33.00","34.00","32.00","132.89K","-2.12%"
"Apr 05, 2022","33.00","32.10","33.40","31.00","317.09K","0.30%"
"Apr 04, 2022","32.90","31.00","35.00","28.00","534.29K","5.79%"
"Apr 01, 2022","31.10","31.10","32.50","31.10","87.62K","-8.26%"
"Mar 31, 2022","33.90","34.90","35.00","30.60","279.79K","-2.87%"
"Mar 30, 2022","34.90","37.10","37.10","32.00","848.54K","-6.43%"
"Mar 29, 2022","37.30","39.80","39.80","37.10","466.13K","-6.28%"
"Mar 28, 2022","39.80","40.00","40.00","39.00","151.26K","0.76%"
"Mar 25, 2022","39.50","40.50","41.40","39.50","223.81K","-1.74%"
"Mar 24, 2022","40.20","41.10","41.10","39.10","103.48K","-1.95%"
