"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 15, 2021","6.70","6.20","6.80","6.10","20.75M","8.06%"
"Oct 14, 2021","6.20","5.90","6.30","5.90","12.68M","5.08%"
"Oct 13, 2021","5.90","6.00","6.00","5.80","1.68M","-1.67%"
"Oct 12, 2021","6.00","6.20","6.30","5.90","2.81M","-1.64%"
"Oct 11, 2021","6.10","5.90","6.20","5.80","7.44M","5.17%"
"Oct 08, 2021","5.80","6.00","6.00","5.70","2.45M","-1.69%"
"Oct 07, 2021","5.90","5.70","6.00","5.60","9.33M","3.51%"
"Oct 06, 2021","5.70","5.60","5.80","5.50","1.54M","3.64%"
"Oct 05, 2021","5.50","5.60","5.70","5.50","1.02M","-1.79%"
"Oct 04, 2021","5.60","5.60","5.70","5.50","2.09M","0.00%"
"Oct 01, 2021","5.60","5.70","5.80","5.50","1.79M","-1.75%"
"Sep 30, 2021","5.70","5.60","5.80","5.60","1.05M","0.00%"
"Sep 29, 2021","5.70","5.90","5.90","5.60","1.81M","-1.72%"
"Sep 28, 2021","5.80","5.70","6.00","5.70","3.37M","-1.69%"
"Sep 27, 2021","5.90","5.90","6.00","5.60","4.66M","-1.67%"
"Sep 24, 2021","6.00","6.60","6.60","5.80","28.95M","-4.76%"
"Sep 23, 2021","6.30","5.30","6.30","5.10","14.67M","21.15%"
"Sep 22, 2021","5.20","5.10","5.30","5.00","876.40K","0.00%"
"Sep 21, 2021","5.20","5.10","5.20","5.00","232.52K","0.00%"
"Sep 17, 2021","5.20","5.20","5.20","5.10","1.07M","0.00%"
"Sep 16, 2021","5.20","5.30","5.30","5.10","881.21K","-1.89%"
"Sep 15, 2021","5.30","5.20","5.30","5.10","1.01M","3.92%"
"Sep 14, 2021","5.10","5.20","5.30","5.00","1.51M","0.00%"
"Sep 13, 2021","5.10","5.40","5.40","4.90","2.71M","-5.56%"
"Sep 10, 2021","5.40","5.70","5.70","5.30","3.58M","-3.57%"
"Sep 09, 2021","5.60","5.60","5.80","5.40","2.53M","0.00%"
"Sep 08, 2021","5.60","5.90","6.00","5.40","5.68M","-3.45%"
"Sep 07, 2021","5.80","6.50","6.50","5.60","12.85M","-7.94%"
"Sep 06, 2021","6.30","6.20","6.40","4.20","41.99M","-21.25%"
"Sep 03, 2021","8.00","8.10","9.20","7.00","14.56M","21.21%"
"Sep 02, 2021","6.60","6.30","6.60","6.30","1.43M","24.53%"
"Sep 01, 2021","5.30","4.50","5.60","4.50","2.02M","20.45%"
"Aug 31, 2021","4.40","4.50","4.50","4.20","65.80K","0.00%"
"Aug 30, 2021","4.40","4.30","4.50","4.30","106.60K","-2.22%"
"Aug 27, 2021","4.50","4.50","4.50","4.30","502.00K","0.00%"
"Aug 26, 2021","4.50","4.40","4.50","4.40","133.98K","2.27%"
"Aug 25, 2021","4.40","4.50","4.50","4.30","108.02K","-2.22%"
"Aug 24, 2021","4.50","4.50","4.60","4.30","141.07K","0.00%"
"Aug 23, 2021","4.50","4.40","4.60","4.40","105.37K","0.00%"
"Aug 20, 2021","4.50","4.50","4.60","4.30","176.98K","2.27%"
"Aug 19, 2021","4.40","4.50","4.60","4.30","269.78K","0.00%"
"Aug 18, 2021","4.40","4.50","4.50","4.30","150.94K","0.00%"
"Aug 17, 2021","4.40","4.30","4.50","4.30","123.94K","0.00%"
"Aug 16, 2021","4.40","4.30","4.50","4.20","6.46K","2.33%"
"Aug 13, 2021","4.30","4.30","4.40","4.20","72.00K","0.00%"
"Aug 12, 2021","4.30","4.60","4.60","4.20","220.49K","-4.44%"
"Aug 11, 2021","4.50","4.60","4.60","4.40","277.44K","0.00%"
"Aug 10, 2021","4.50","4.90","4.90","4.40","635.66K","-2.17%"
"Aug 09, 2021","4.60","4.90","4.90","4.50","525.25K","-4.17%"
"Aug 06, 2021","4.80","4.90","5.00","4.70","544.13K","2.13%"
"Aug 05, 2021","4.70","5.00","5.00","4.70","710.88K","-7.84%"
"Aug 04, 2021","5.10","5.10","5.10","4.80","1.03M","-1.92%"
"Aug 03, 2021","5.20","5.20","5.40","4.80","1.20M","-3.70%"
"Aug 02, 2021","5.40","5.70","5.70","5.30","226.38K","-5.26%"
"Jul 30, 2021","5.70","5.60","5.70","5.50","102.35K","1.79%"
"Jul 29, 2021","5.60","5.70","5.80","5.50","234.22K","-1.75%"
"Jul 28, 2021","5.70","5.60","5.70","5.50","178.51K","3.64%"
"Jul 27, 2021","5.50","5.60","5.70","5.50","159.63K","0.00%"
"Jul 26, 2021","5.50","5.70","5.70","5.50","77.21K","-1.79%"
"Jul 22, 2021","5.60","5.80","5.80","5.50","417.41K","0.00%"
"Jul 20, 2021","5.60","5.70","6.50","5.20","952.90K","49.11%"
"Jul 19, 2021","3.76","3.70","3.81","3.64","872.21K","3.23%"
"Jul 16, 2021","3.64","3.81","3.87","3.64","963.68K","-3.12%"
"Jul 15, 2021","3.76","3.52","3.99","3.46","2.02M","6.67%"
"Jul 14, 2021","3.52","3.46","3.52","3.46","258.59K","3.45%"
"Jul 13, 2021","3.40","3.40","3.40","3.29","494.11K","1.75%"
"Jul 12, 2021","3.34","3.46","3.46","3.29","207.56K","0.00%"
"Jul 09, 2021","3.34","3.46","3.58","3.34","590.35K","0.00%"
"Jul 08, 2021","3.34","3.34","3.40","3.34","38.27K","1.79%"
"Jul 07, 2021","3.29","3.34","3.46","3.29","405.90K","0.00%"
"Jul 06, 2021","3.29","3.34","3.40","3.29","40.01K","-1.75%"
"Jul 05, 2021","3.34","3.52","3.52","3.17","577.21K","-5.00%"
"Jul 02, 2021","3.52","3.58","3.58","3.46","76.87K","-1.64%"
"Jul 01, 2021","3.58","3.52","3.58","3.40","13.05K","3.39%"
"Jun 30, 2021","3.46","3.58","3.64","3.46","89.19K","0.00%"
"Jun 29, 2021","3.46","3.40","3.58","3.40","61.21K","-1.67%"
"Jun 28, 2021","3.52","3.46","3.52","3.40","209.05K","0.00%"
"Jun 25, 2021","3.52","3.58","3.58","3.52","9.65K","0.00%"
"Jun 23, 2021","3.52","3.52","3.52","3.52","11.08K","-1.64%"
"Jun 22, 2021","3.58","3.52","3.58","3.46","115.44K","1.67%"
"Jun 21, 2021","3.52","3.70","3.70","3.52","42.23K","-3.23%"
"Jun 18, 2021","3.64","3.70","3.70","3.64","34.10K","1.64%"
"Jun 17, 2021","3.58","3.64","3.64","3.58","4.09K","-1.61%"
"Jun 16, 2021","3.64","3.76","3.76","3.64","4.18K","-3.12%"
"Jun 15, 2021","3.76","3.52","3.76","3.52","128.31K","6.67%"
"Jun 14, 2021","3.52","3.58","3.58","3.52","20.58K","-1.64%"
"Jun 11, 2021","3.58","3.58","3.58","3.58","29.27K","0.00%"
"Jun 10, 2021","3.58","3.58","3.64","3.52","36.41K","1.67%"
"Jun 09, 2021","3.52","3.52","3.58","3.46","63.48K","-1.64%"
"Jun 08, 2021","3.58","3.58","3.58","3.46","39.10K","0.00%"
"Jun 07, 2021","3.58","3.52","3.58","3.52","19.79K","0.00%"
"Jun 04, 2021","3.58","3.52","3.58","3.46","17.68K","1.67%"
"Jun 03, 2021","3.52","3.52","3.52","3.46","20.57K","0.00%"
"Jun 02, 2021","3.52","3.52","3.52","3.46","22.63K","0.00%"
"Jun 01, 2021","3.52","3.64","3.64","3.46","35.26K","1.69%"
"May 31, 2021","3.46","3.64","3.64","3.46","165.63K","-1.67%"
"May 28, 2021","3.52","3.52","3.58","3.40","161.10K","-1.64%"
"May 25, 2021","3.58","3.52","3.70","3.46","63.45K","1.67%"
"May 24, 2021","3.52","3.58","3.58","3.40","39.33K","1.69%"
"May 21, 2021","3.46","3.46","3.46","3.40","218.34K","-1.67%"
"May 20, 2021","3.52","3.58","3.64","3.52","54.30K","-3.23%"
"May 19, 2021","3.64","3.76","3.76","3.64","3.19K","0.00%"
"May 18, 2021","3.64","3.81","3.81","3.58","32.68K","-3.12%"
"May 17, 2021","3.76","3.76","3.93","3.70","83.86K","-3.03%"
"May 13, 2021","3.87","3.64","3.99","3.64","338.02K","4.76%"
"May 12, 2021","3.70","3.29","3.76","3.29","760.49K","8.62%"
"May 11, 2021","3.40","3.23","3.40","3.23","84.19K","5.45%"
"May 10, 2021","3.23","3.34","3.34","3.17","0.12K","-1.79%"
"May 07, 2021","3.29","3.11","3.46","3.11","141.36K","5.66%"
"May 06, 2021","3.11","3.17","3.17","3.11","7.06K","-1.85%"
"May 05, 2021","3.17","3.11","3.17","3.05","9.01K","1.89%"
"May 04, 2021","3.11","3.17","3.17","3.05","38.86K","0.00%"
"May 03, 2021","3.11","3.23","3.23","3.11","81.96K","-3.64%"
"Apr 30, 2021","3.23","3.29","3.29","3.23","20.11K","-1.79%"
"Apr 29, 2021","3.29","3.29","3.29","3.23","13.75K","0.00%"
"Apr 28, 2021","3.29","3.23","3.29","3.23","20.06K","1.82%"
"Apr 27, 2021","3.23","3.23","3.34","3.23","25.06K","0.00%"
"Apr 23, 2021","3.23","3.29","3.40","3.23","38.84K","-5.17%"
"Apr 22, 2021","3.40","3.29","3.52","3.29","17.91K","1.75%"
"Apr 21, 2021","3.34","3.40","3.40","3.34","19.77K","1.79%"
"Apr 20, 2021","3.29","3.40","3.46","3.29","67.09K","-3.45%"
"Apr 19, 2021","3.40","3.52","3.52","3.40","33.16K","-3.33%"
"Apr 16, 2021","3.52","3.40","3.52","3.40","16.23K","1.69%"
"Apr 15, 2021","3.46","3.46","3.52","3.40","15.62K","-1.67%"
"Apr 12, 2021","3.52","3.34","3.70","3.29","151.34K","7.14%"
"Apr 09, 2021","3.29","3.23","3.29","3.23","24.13K","3.70%"
"Apr 08, 2021","3.17","3.11","3.17","3.11","23.19K","8.00%"
"Apr 07, 2021","2.93","3.17","3.17","2.93","48.27K","-7.41%"
"Apr 06, 2021","3.17","3.17","3.17","3.11","0.97K","0.00%"
"Apr 05, 2021","3.17","3.17","3.29","3.05","51.30K","1.89%"
"Apr 01, 2021","3.11","3.11","3.23","3.11","9.46K","0.00%"
"Mar 31, 2021","3.11","3.11","3.29","3.11","6.35K","-3.64%"
"Mar 30, 2021","3.23","3.11","3.29","3.11","2.04K","1.85%"
"Mar 29, 2021","3.17","3.11","3.17","3.05","83.57K","0.00%"
"Mar 26, 2021","3.17","3.34","3.34","3.11","17.22K","-1.82%"
"Mar 25, 2021","3.23","3.29","3.34","3.17","2.07K","-1.79%"
"Mar 24, 2021","3.29","3.23","3.29","3.17","96.17K","-1.75%"
"Mar 23, 2021","3.34","3.34","3.34","3.34","0.09K","1.79%"
"Mar 22, 2021","3.29","3.29","3.40","3.29","6.09K","3.70%"
"Mar 19, 2021","3.17","3.23","3.23","3.17","2.54K","-1.82%"
"Mar 18, 2021","3.23","3.40","3.46","3.17","81.42K","-5.17%"
"Mar 17, 2021","3.40","3.52","3.52","3.40","1.06K","-3.33%"
"Mar 16, 2021","3.52","3.46","3.52","3.40","23.19K","0.00%"
"Mar 15, 2021","3.52","3.58","3.58","3.52","21.13K","0.00%"
"Mar 12, 2021","3.52","3.58","3.58","3.46","0.82K","3.45%"
"Mar 10, 2021","3.40","3.52","3.64","3.40","21.97K","-4.92%"
"Mar 09, 2021","3.58","3.46","3.64","3.46","74.20K","-1.61%"
"Mar 08, 2021","3.64","3.64","3.64","3.46","17.26K","3.33%"
"Mar 05, 2021","3.52","3.58","3.58","3.52","9.46K","5.26%"
"Mar 04, 2021","3.34","3.70","3.70","3.34","80.09K","-8.06%"
